VARIABLE NAME	API data type	NAME OF DATA ELEMENT
NOT1STGEN_COMP_2YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 2-year institution and completed within 8 years
NOT1STGEN_WDRAW_ORIG_YR8_RT	float	Percent of not-first-generation students withdrawn from original institution within 8 years
NOT1STGEN_WDRAW_4YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 8 years
NOT1STGEN_WDRAW_2YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 8 years
NOT1STGEN_ENRL_ORIG_YR8_RT	float	Percent of not-first-generation students who were still enrolled at original institution within 8 years
NOT1STGEN_ENRL_4YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 8 years
NOT1STGEN_ENRL_2YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 8 years
NOT1STGEN_UNKN_ORIG_YR8_RT	float	Percent of not-first-generation students with status unknown within 8 years at original institution
NOT1STGEN_UNKN_4YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 8 years
NOT1STGEN_UNKN_2YR_TRANS_YR8_RT	float	Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 8 years
RPY_1YR_RT	float	Fraction of repayment cohort who are not in default, and with loan balances that have declined one year since entering repayment, excluding enrolled and military deferment from calculation. (Rolling averages)
COMPL_RPY_1YR_RT	float	One-year repayment rate for completers
NONCOM_RPY_1YR_RT	float	One-year repayment rate for non-completers
LO_INC_RPY_1YR_RT	float	One-year repayment rate by family income ($0-30,000)
MD_INC_RPY_1YR_RT	float	One-year repayment rate by family income ($30,000-75,000)
HI_INC_RPY_1YR_RT	float	One-year repayment rate by family income ($75,000+)
DEP_RPY_1YR_RT	float	One-year repayment rate for dependent students
IND_RPY_1YR_RT	float	One-year repayment rate for independent students
PELL_RPY_1YR_RT	float	One-year repayment rate for students who received a Pell grant while at the school
NOPELL_RPY_1YR_RT	float	One-year repayment rate for students who never received a Pell grant while at school
FEMALE_RPY_1YR_RT	float	One-year repayment rate for females
MALE_RPY_1YR_RT	float	One-year repayment rate for males
FIRSTGEN_RPY_1YR_RT	float	One-year repayment rate for first-generation students
NOTFIRSTGEN_RPY_1YR_RT	float	One-year repayment rate for students who are not first-generation
RPY_3YR_RT	float	Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)
COMPL_RPY_3YR_RT	float	Three-year repayment rate for completers
NONCOM_RPY_3YR_RT	float	Three-year repayment rate for non-completers
LO_INC_RPY_3YR_RT	float	Three-year repayment rate by family income ($0-30,000)
MD_INC_RPY_3YR_RT	float	Three-year repayment rate by family income ($30,000-75,000)
HI_INC_RPY_3YR_RT	float	Three-year repayment rate by family income ($75,000+)
DEP_RPY_3YR_RT	float	Three-year repayment rate for dependent students
IND_RPY_3YR_RT	float	Three-year repayment rate for independent students
PELL_RPY_3YR_RT	float	Three-year repayment rate for students who received a Pell grant while at the school
NOPELL_RPY_3YR_RT	float	Three-year repayment rate for students who never received a Pell grant while at school
FEMALE_RPY_3YR_RT	float	Three-year repayment rate for females
MALE_RPY_3YR_RT	float	Three-year repayment rate for males
FIRSTGEN_RPY_3YR_RT	float	Three-year repayment rate for first-generation students
NOTFIRSTGEN_RPY_3YR_RT	float	Three-year repayment rate for students who are not first-generation
RPY_5YR_RT	float	Fraction of repayment cohort who are not in default, and with loan balances that have declined five years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)
COMPL_RPY_5YR_RT	float	Five-year repayment rate for completers
NONCOM_RPY_5YR_RT	float	Five-year repayment rate for non-completers
LO_INC_RPY_5YR_RT	float	Five-year repayment rate by family income ($0-30,000)
MD_INC_RPY_5YR_RT	float	Five-year repayment rate by family income ($30,000-75,000)
HI_INC_RPY_5YR_RT	float	Five-year repayment rate by family income ($75,000+)
DEP_RPY_5YR_RT	float	Five-year repayment rate for dependent students
IND_RPY_5YR_RT	float	Five-year repayment rate for independent students
PELL_RPY_5YR_RT	float	Five-year repayment rate for students who received a Pell grant while at the school
NOPELL_RPY_5YR_RT	float	Five-year repayment rate for students who never received a Pell grant while at school
FEMALE_RPY_5YR_RT	float	Five-year repayment rate for females
MALE_RPY_5YR_RT	float	Five-year repayment rate for males
FIRSTGEN_RPY_5YR_RT	float	Five-year repayment rate for first-generation students
NOTFIRSTGEN_RPY_5YR_RT	float	Five-year repayment rate for students who are not first-generation
RPY_7YR_RT	float	Fraction of repayment cohort who are not in default, and with loan balances that have declined seven years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)
COMPL_RPY_7YR_RT	float	Seven-year repayment rate for completers
NONCOM_RPY_7YR_RT	float	Seven-year repayment rate for non-completers
LO_INC_RPY_7YR_RT	float	Seven-year repayment rate by family income ($0-30,000)
MD_INC_RPY_7YR_RT	float	Seven-year repayment rate by family income ($30,000-75,000)
HI_INC_RPY_7YR_RT	float	Seven-year repayment rate by family income ($75,000+)
DEP_RPY_7YR_RT	float	Seven-year repayment rate for dependent students
IND_RPY_7YR_RT	float	Seven-year repayment rate for independent students
PELL_RPY_7YR_RT	float	Seven-year repayment rate for students who received a Pell grant while at the school
NOPELL_RPY_7YR_RT	float	Seven-year repayment rate for students who never received a Pell grant while at school
FEMALE_RPY_7YR_RT	float	Seven-year repayment rate for females
MALE_RPY_7YR_RT	float	Seven-year repayment rate for males
FIRSTGEN_RPY_7YR_RT	float	Seven-year repayment rate for first-generation students
NOTFIRSTGEN_RPY_7YR_RT	float	Seven-year repayment rate for students who are not first-generation
INC_PCT_LO	float	Percentage of aided students whose family income is between $0-$30,000
DEP_STAT_PCT_IND	float	Percentage of students who are financially independent
IND_INC_PCT_LO	float	Percentage of students who are financially independent and have family incomes between $0-30,000
DEP_INC_PCT_LO	float	Percentage of students who are financially dependent and have family incomes between $0-30,000
PAR_ED_PCT_1STGEN	float	Percentage first-generation students
INC_PCT_M1	float	Aided students with family incomes between $30,001-$48,000 in nominal dollars
INC_PCT_M2	float	Aided students with family incomes between $48,001-$75,000 in nominal dollars
INC_PCT_H1	float	Aided students with family incomes between $75,001-$110,000 in nominal dollars
INC_PCT_H2	float	Aided students with family incomes between $110,001+ in nominal dollars
DEP_INC_PCT_M1	float	Dependent students with family incomes between $30,001-$48,000 in nominal dollars
DEP_INC_PCT_M2	float	Dependent students with family incomes between $48,001-$75,000 in nominal dollars
DEP_INC_PCT_H1	float	Dependent students with family incomes between $75,001-$110,000 in nominal dollars
DEP_INC_PCT_H2	float	Dependent students with family incomes between $110,001+ in nominal dollars
IND_INC_PCT_M1	float	Independent students with family incomes between $30,001-$48,000 in nominal dollars
IND_INC_PCT_M2	float	Independent students with family incomes between $48,001-$75,000 in nominal dollars
IND_INC_PCT_H1	float	Independent students with family incomes between $75,001-$110,000 in nominal dollars
IND_INC_PCT_H2	float	Independent students with family incomes between $110,001+ in nominal dollars
PAR_ED_PCT_MS	float	Percent of students whose parents' highest educational level is middle school
PAR_ED_PCT_HS	float	Percent of students whose parents' highest educational level is high school
PAR_ED_PCT_PS	float	Percent of students whose parents' highest educational level was is some form of postsecondary education
APPL_SCH_PCT_GE2	float	Number of applications is greater than or equal to 2
APPL_SCH_PCT_GE3	float	Number of applications is greater than or equal to 3
APPL_SCH_PCT_GE4	float	Number of applications is greater than or equal to 4
APPL_SCH_PCT_GE5	float	Number of applications is greater than or equal to 5
DEP_INC_AVG	integer	Average family income of dependent students in real 2015 dollars.
IND_INC_AVG	integer	Average family income of independent students in real 2015 dollars.
OVERALL_YR2_N	integer	Number of students in overall 2-year completion cohort
LO_INC_YR2_N	integer	Number of low-income (less than $30,000 in nominal family income) students in overall 2-year completion cohort
MD_INC_YR2_N	integer	Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 2-year completion cohort
HI_INC_YR2_N	integer	Number of high-income (above $75,000 in nominal family income) students in overall 2-year completion cohort
DEP_YR2_N	integer	Number of dependent students in overall 2-year completion cohort
IND_YR2_N	integer	Number of independent students in overall 2-year completion cohort
FEMALE_YR2_N	integer	Number of female students in overall 2-year completion cohort
MALE_YR2_N	integer	Number of male students in overall 2-year completion cohort
PELL_YR2_N	integer	Number of Pell students in overall 2-year completion cohort
NOPELL_YR2_N	integer	Number of no-Pell students in overall 2-year completion cohort
LOAN_YR2_N	integer	Number of loan students in overall 2-year completion cohort
NOLOAN_YR2_N	integer	Number of no-loan students in overall 2-year completion cohort
FIRSTGEN_YR2_N	integer	Number of first-generation students in overall 2-year completion cohort
NOT1STGEN_YR2_N	integer	Number of not-first-generation students in overall 2-year completion cohort
OVERALL_YR3_N	integer	Number of students in overall 3-year completion cohort
LO_INC_YR3_N	integer	Number of low-income (less than $30,000 in nominal family income) students in overall 3-year completion cohort
MD_INC_YR3_N	integer	Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 3-year completion cohort
HI_INC_YR3_N	integer	Number of high-income (above $75,000 in nominal family income) students in overall 3-year completion cohort
DEP_YR3_N	integer	Number of dependent students in overall 3-year completion cohort
IND_YR3_N	integer	Number of independent students in overall 3-year completion cohort
FEMALE_YR3_N	integer	Number of female students in overall 3-year completion cohort
MALE_YR3_N	integer	Number of male students in overall 3-year completion cohort
PELL_YR3_N	integer	Number of Pell students in overall 3-year completion cohort
NOPELL_YR3_N	integer	Number of no-Pell students in overall 3-year completion cohort
LOAN_YR3_N	integer	Number of loan students in overall 3-year completion cohort
NOLOAN_YR3_N	integer	Number of no-loan students in overall 3-year completion cohort
FIRSTGEN_YR3_N	integer	Number of first-generation students in overall 3-year completion cohort
NOT1STGEN_YR3_N	integer	Number of not-first-generation students in overall 3-year completion cohort
OVERALL_YR4_N	integer	Number of students in overall 4-year completion cohort
LO_INC_YR4_N	integer	Number of low-income (less than $30,000 in nominal family income) students in overall 4-year completion cohort
MD_INC_YR4_N	integer	Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 4-year completion cohort
HI_INC_YR4_N	integer	Number of high-income (above $75,000 in nominal family income) students in overall 4-year completion cohort
DEP_YR4_N	integer	Number of dependent students in overall 4-year completion cohort
IND_YR4_N	integer	Number of independent students in overall 4-year completion cohort
FEMALE_YR4_N	integer	Number of female students in overall 4-year completion cohort
MALE_YR4_N	integer	Number of male students in overall 4-year completion cohort
PELL_YR4_N	integer	Number of Pell students in overall 4-year completion cohort
NOPELL_YR4_N	integer	Number of no-Pell students in overall 4-year completion cohort
LOAN_YR4_N	integer	Number of loan students in overall 4-year completion cohort
NOLOAN_YR4_N	integer	Number of no-loan students in overall 4-year completion cohort
FIRSTGEN_YR4_N	integer	Number of first-generation students in overall 4-year completion cohort
NOT1STGEN_YR4_N	integer	Number of not-first-generation students in overall 4-year completion cohort
OVERALL_YR6_N	integer	Number of students in overall 6-year completion cohort
LO_INC_YR6_N	integer	Number of low-income (less than $30,000 in nominal family income) students in overall 6-year completion cohort
MD_INC_YR6_N	integer	Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 6-year completion cohort
HI_INC_YR6_N	integer	Number of high-income (above $75,000 in nominal family income) students in overall 6-year completion cohort
DEP_YR6_N	integer	Number of dependent students in overall 6-year completion cohort
IND_YR6_N	integer	Number of independent students in overall 6-year completion cohort
FEMALE_YR6_N	integer	Number of female students in overall 6-year completion cohort
MALE_YR6_N	integer	Number of male students in overall 6-year completion cohort
PELL_YR6_N	integer	Number of Pell students in overall 6-year completion cohort
NOPELL_YR6_N	integer	Number of no-Pell students in overall 6-year completion cohort
LOAN_YR6_N	integer	Number of loan students in overall 6-year completion cohort
NOLOAN_YR6_N	integer	Number of no-loan students in overall 6-year completion cohort
FIRSTGEN_YR6_N	integer	Number of first-generation students in overall 6-year completion cohort
NOT1STGEN_YR6_N	integer	Number of not-first-generation students in overall 6-year completion cohort
OVERALL_YR8_N	integer	Number of students in overall 8-year completion cohort
LO_INC_YR8_N	integer	Number of low-income (less than $30,000 in nominal family income) students in overall 8-year completion cohort
MD_INC_YR8_N	integer	Number of middle-income (between $30,000 and $75,000 in nominal family income) students in overall 8-year completion cohort
HI_INC_YR8_N	integer	Number of high-income (above $75,000 in nominal family income) students in overall 8-year completion cohort
DEP_YR8_N	integer	Number of dependent students in overall 8-year completion cohort
IND_YR8_N	integer	Number of independent students in overall 8-year completion cohort
FEMALE_YR8_N	integer	Number of female students in overall 8-year completion cohort
MALE_YR8_N	integer	Number of male students in overall 8-year completion cohort
PELL_YR8_N	integer	Number of Pell students in overall 8-year completion cohort
NOPELL_YR8_N	integer	Number of no-Pell students in overall 8-year completion cohort
LOAN_YR8_N	integer	Number of loan students in overall 8-year completion cohort
NOLOAN_YR8_N	integer	Number of no-loan students in overall 8-year completion cohort
FIRSTGEN_YR8_N	integer	Number of first-generation students in overall 8-year completion cohort
NOT1STGEN_YR8_N	integer	Number of not-first-generation students in overall 8-year completion cohort
DEBT_MDN	float	The median original amount of the loan principal upon entering repayment
GRAD_DEBT_MDN	float	The median debt for students who have completed
WDRAW_DEBT_MDN	float	The median debt for students who have not completed
LO_INC_DEBT_MDN	float	The median debt for students with family income between $0-$30,000
MD_INC_DEBT_MDN	float	The median debt for students with family income between $30,001-$75,000
HI_INC_DEBT_MDN	float	The median debt for students with family income $75,001+
DEP_DEBT_MDN	float	The median debt for dependent students
IND_DEBT_MDN	float	The median debt for independent students
PELL_DEBT_MDN	float	The median debt for Pell students
NOPELL_DEBT_MDN	float	The median debt for no-Pell students
FEMALE_DEBT_MDN	float	The median debt for female students
MALE_DEBT_MDN	float	The median debt for male students
FIRSTGEN_DEBT_MDN	float	The median debt for first-generation students
NOTFIRSTGEN_DEBT_MDN	float	The median debt for not-first-generation students
DEBT_N	integer	The number of students in the median debt cohort
GRAD_DEBT_N	integer	The number of students in the median debt completers cohort
WDRAW_DEBT_N	integer	The number of students in the median debt withdrawn cohort
LO_INC_DEBT_N	integer	The number of students in the median debt low-income (less than or equal to $30,000 in nominal family income) students cohort
MD_INC_DEBT_N	integer	The number of students in the median debt middle-income (between $30,000 and $75,000 in nominal family income) students cohort
HI_INC_DEBT_N	integer	The number of students in the median debt high-income (above $75,000 in nominal family income) students cohort
DEP_DEBT_N	integer	The number of students in the median debt dependent students cohort
IND_DEBT_N	integer	The number of students in the median debt independent students cohort
PELL_DEBT_N	integer	The number of students in the median debt Pell students cohort
NOPELL_DEBT_N	integer	The number of students in the median debt no-Pell students cohort
FEMALE_DEBT_N	integer	The number of students in the median debt female students cohort
MALE_DEBT_N	integer	The number of students in the median debt male students cohort
FIRSTGEN_DEBT_N	integer	The number of students in the median debt first-generation students cohort
NOTFIRSTGEN_DEBT_N	integer	The number of students in the median debt not-first-generation students cohort
GRAD_DEBT_MDN10YR	float	Median loan debt of completers in monthly payments (10-year amortization plan)
CUML_DEBT_N	integer	Number of students in the cumulative loan debt cohort
CUML_DEBT_P90	integer	Cumulative loan debt at the 90th percentile
CUML_DEBT_P75	integer	Cumulative loan debt at the 75th percentile
CUML_DEBT_P25	integer	Cumulative loan debt at the 25th percentile
CUML_DEBT_P10	integer	Cumulative loan debt at the 10th percentile
INC_N	integer	Number of students in the family income cohort
DEP_INC_N	integer	Number of students in the family income dependent students cohort
IND_INC_N	integer	Number of students in the family income independent students cohort
DEP_STAT_N	integer	Number of students in the disaggregation with valid dependency status
PAR_ED_N	integer	Number of students in the parents' education level cohort
APPL_SCH_N	integer	Number of students in the FAFSA applications cohort
REPAY_DT_MDN	string	Median Date Student Enters Repayment
SEPAR_DT_MDN	string	Median Date Student Separated
REPAY_DT_N	integer	Number of students in the cohort for date students enter repayment
SEPAR_DT_N	integer	Number of students in the cohort for date students separated from the school
RPY_1YR_N	integer	Number of students in the 1-year repayment rate cohort
COMPL_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of completers cohort
NONCOM_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of non-completers cohort
LO_INC_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort
MD_INC_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort
HI_INC_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of high-income (above $75,000 in nominal family income) students cohort
DEP_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of dependent students cohort
IND_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of independent students cohort
PELL_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of Pell students cohort
NOPELL_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of no-Pell students cohort
FEMALE_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of female students cohort
MALE_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of male students cohort
FIRSTGEN_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of first-generation students cohort
NOTFIRSTGEN_RPY_1YR_N	integer	Number of students in the 1-year repayment rate of not-first-generation students cohort
RPY_3YR_N	integer	Number of students in the 3-year repayment rate cohort
COMPL_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of completers cohort
NONCOM_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of non-completers cohort
LO_INC_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort
MD_INC_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort
HI_INC_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of high-income (above $75,000 in nominal family income) students cohort
DEP_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of dependent students cohort
IND_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of independent students cohort
PELL_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of Pell students cohort
NOPELL_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of no-Pell students cohort
FEMALE_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of female students cohort
MALE_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of male students cohort
FIRSTGEN_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of first-generation students cohort
NOTFIRSTGEN_RPY_3YR_N	integer	Number of students in the 3-year repayment rate of not-first-generation students cohort
RPY_5YR_N	integer	Number of students in the 5-year repayment rate cohort
COMPL_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of completers cohort
NONCOM_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of non-completers cohort
LO_INC_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort
MD_INC_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort
HI_INC_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of high-income (above $75,000 in nominal family income) students cohort
DEP_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of dependent students cohort
IND_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of independent students cohort
PELL_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of Pell students cohort
NOPELL_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of no-Pell students cohort
FEMALE_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of female students cohort
MALE_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of male students cohort
FIRSTGEN_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of first-generation students cohort
NOTFIRSTGEN_RPY_5YR_N	integer	Number of students in the 5-year repayment rate of not-first-generation students cohort
RPY_7YR_N	integer	Number of students in the 7-year repayment rate cohort
COMPL_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of completers cohort
NONCOM_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of non-completers cohort
LO_INC_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of low-income (less than $30,000 in nominal family income) students cohort
MD_INC_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort
HI_INC_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of high-income (above $75,000 in nominal family income) students cohort
DEP_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of dependent students cohort
IND_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of independent students cohort
PELL_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of Pell students cohort
NOPELL_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of no-Pell students cohort
FEMALE_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of female students cohort
MALE_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of male students cohort
FIRSTGEN_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of first-generation students cohort
NOTFIRSTGEN_RPY_7YR_N	integer	Number of students in the 7-year repayment rate of not-first-generation students cohort
COUNT_ED	integer	Count of students in the earnings cohort
LOAN_EVER	float	Share of students who received a federal loan while in school
PELL_EVER	float	Share of students who received a Pell Grant while in school
AGE_ENTRY	integer	Average age of entry
AGE_ENTRY_SQ	integer	Average of the age of entry squared
AGEGE24	float	Percent of students over 23 at entry
FEMALE	float	Share of female students
MARRIED	float	Share of married students
DEPENDENT	float	Share of dependent students
VETERAN	float	Share of veteran students
FIRST_GEN	float	Share of first-generation students
FAMINC	integer	Average family income
MD_FAMINC	integer	Median family income
FAMINC_IND	integer	Average family income for independent students 
LNFAMINC	integer	Average of the log of family income
LNFAMINC_IND	integer	Average of the log of family income for independent students
PCT_WHITE	float	Percent of the population from students' zip codes that is White, via Census data
PCT_BLACK	float	Percent of the population from students' zip codes that is Black, via Census data
PCT_ASIAN	float	Percent of the population from students' zip codes that is Asian, via Census data
PCT_HISPANIC	float	Percent of the population from students' zip codes that is Hispanic, via Census data
PCT_BA	float	Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data
PCT_GRAD_PROF	float	Percent of the population from students' zip codes over 25 with a professional degree, via Census data
PCT_BORN_US	float	Percent of the population from students' zip codes that was born in the US, via Census data
MEDIAN_HH_INC	integer	Median household income
POVERTY_RATE	float	Poverty rate, via Census data
UNEMP_RATE	float	Unemployment rate, via Census data
LN_MEDIAN_HH_INC	integer	Log of the median household income
FSEND_COUNT	integer	Average number of students who sent their FAFSA reports to at least one college
FSEND_1	float	Share of students who submitted FAFSAs to only one college
FSEND_2	float	Share of students who submitted FAFSAs to two colleges
FSEND_3	float	Share of students who submitted FAFSAs to three colleges
FSEND_4	float	Share of students who submitted FAFSAs to four colleges
FSEND_5	float	Share of students who submitted FAFSAs to at least five colleges
COUNT_NWNE_P10	integer	Number of students not working and not enrolled 10 years after entry
COUNT_WNE_P10	integer	Number of students working and not enrolled 10 years after entry
MN_EARN_WNE_P10	integer	Mean earnings of students working and not enrolled 10 years after entry
MD_EARN_WNE_P10	integer	Median earnings of students working and not enrolled 10 years after entry
PCT10_EARN_WNE_P10	integer	10th percentile of earnings of students working and not enrolled 10 years after entry
PCT25_EARN_WNE_P10	integer	25th percentile of earnings of students working and not enrolled 10 years after entry
PCT75_EARN_WNE_P10	integer	75th percentile of earnings of students working and not enrolled 10 years after entry
PCT90_EARN_WNE_P10	integer	90th percentile of earnings of students working and not enrolled 10 years after entry
SD_EARN_WNE_P10	integer	Standard deviation of earnings of students working and not enrolled 10 years after entry
COUNT_WNE_INC1_P10	integer	Number of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000
COUNT_WNE_INC2_P10	integer	Number of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000
COUNT_WNE_INC3_P10	integer	Number of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ 
COUNT_WNE_INDEP0_INC1_P10	integer	Number of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000 
COUNT_WNE_INDEP0_P10	integer	Number of dependent students working and not enrolled 10 years after entry
COUNT_WNE_INDEP1_P10	integer	Number of independent students working and not enrolled 10 years after entry
COUNT_WNE_MALE0_P10	integer	Number of female students working and not enrolled 10 years after entry
COUNT_WNE_MALE1_P10	integer	Number of male students working and not enrolled 10 years after entry
GT_25K_P10	float	Share of students earning over $25,000/year (threshold earnings) 10 years after entry
GT_28K_P10	float	Share of students earning over $28,000/year (threshold earnings) 10 years after entry
MN_EARN_WNE_INC1_P10	integer	Mean earnings of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000
MN_EARN_WNE_INC2_P10	integer	Mean earnings of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000
MN_EARN_WNE_INC3_P10	integer	Mean earnings of students working and not enrolled 10 years after entry in the highest income tercile $75,001+ 
MN_EARN_WNE_INDEP0_INC1_P10	integer	Mean earnings of dependent students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000
MN_EARN_WNE_INDEP0_P10	integer	Mean earnings of dependent students working and not enrolled 10 years after entry
MN_EARN_WNE_INDEP1_P10	integer	Mean earnings of independent students working and not enrolled 10 years after entry
MN_EARN_WNE_MALE0_P10	integer	Mean earnings of female students working and not enrolled 10 years after entry
MN_EARN_WNE_MALE1_P10	integer	Mean earnings of male students working and not enrolled 10 years after entry
COUNT_NWNE_P6	integer	Number of students not working and not enrolled 6 years after entry
COUNT_WNE_P6	integer	Number of students working and not enrolled 6 years after entry
MN_EARN_WNE_P6	integer	Mean earnings of students working and not enrolled 6 years after entry
MD_EARN_WNE_P6	integer	Median earnings of students working and not enrolled 6 years after entry
PCT10_EARN_WNE_P6	integer	10th percentile of earnings of students working and not enrolled 6 years after entry
PCT25_EARN_WNE_P6	integer	25th percentile of earnings of students working and not enrolled 6 years after entry
PCT75_EARN_WNE_P6	integer	75th percentile of earnings of students working and not enrolled 6 years after entry
PCT90_EARN_WNE_P6	integer	90th percentile of earnings of students working and not enrolled 6 years after entry
SD_EARN_WNE_P6	integer	Standard deviation of earnings of students working and not enrolled 6 years after entry
COUNT_WNE_INC1_P6	integer	Number of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000
COUNT_WNE_INC2_P6	integer	Number of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000
COUNT_WNE_INC3_P6	integer	Number of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ 
COUNT_WNE_INDEP0_INC1_P6	integer	Number of dependent students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000
COUNT_WNE_INDEP0_P6	integer	Number of dependent students working and not enrolled 6 years after entry
COUNT_WNE_INDEP1_P6	integer	Number of independent students working and not enrolled 6 years after entry
COUNT_WNE_MALE0_P6	integer	Number of female students working and not enrolled 6 years after entry
COUNT_WNE_MALE1_P6	integer	Number of male students working and not enrolled 6 years after entry
GT_25K_P6	float	Share of students earning over $25,000/year (threshold earnings) 6 years after entry
GT_28K_P6	float	Share of students earning over $28,000/year (threshold earnings) 6 years after entry
MN_EARN_WNE_INC1_P6	float	Mean earnings of students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000
MN_EARN_WNE_INC2_P6	float	Mean earnings of students working and not enrolled 6 years after entry in the middle income tercile $30,001-$75,000
MN_EARN_WNE_INC3_P6	float	Mean earnings of students working and not enrolled 6 years after entry in the highest income tercile $75,001+ 
MN_EARN_WNE_INDEP0_INC1_P6	float	Mean earnings of dependent students working and not enrolled 6 years after entry in the lowest income tercile $0-$30,000
MN_EARN_WNE_INDEP0_P6	float	Mean earnings of dependent students working and not enrolled 6 years after entry
MN_EARN_WNE_INDEP1_P6	float	Mean earnings of independent students working and not enrolled 6 years after entry
MN_EARN_WNE_MALE0_P6	float	Mean earnings of female students working and not enrolled 6 years after entry
MN_EARN_WNE_MALE1_P6	float	Mean earnings of male students working and not enrolled 6 years after entry
COUNT_NWNE_P7	float	Number of students not working and not enrolled 7 years after entry
COUNT_WNE_P7	integer	Number of students working and not enrolled 7 years after entry
